dataset,source,description,license,doi,access_date,citation
"NASA/ORNL AGB Biomass Carbon Density v1","Google Earth Engine / ORNL DAAC","Global harmonised aboveground + belowground biomass carbon density 2010 (Mg C/ha) at 300 m","CC-BY-4.0","10.3334/ORNLDAAC/1763","2026-07-03","Spawn, S.A. & Gibbs, H.K. (2020). Global Aboveground and Belowground Biomass Carbon Density Maps for the Year 2010. ORNL DAAC, Oak Ridge."
"ESA CCI Biomass 2020","ESA Climate Change Initiative","Multi-year AGB product 2007–2022 used for temporal trend and cross-validation (100 m)","CC-BY-4.0","10.5285/5f331c418e9f4935b8eb1b836f8a91b8","2026-07-03","Santoro, M. et al. (2021). The global forest above-ground biomass pool for 2010 estimated from high-resolution satellite observations. Earth Syst. Sci. Data 13."
"GEDI v2 LiDAR Canopy Height","NASA / LPDAAC","Global Ecosystem Dynamics Investigation Level 2 & 4 footprint canopy heights and AGB for validation","CC-BY-4.0","10.3334/ORNLDAAC/1925","2026-07-03","Dubayah, R. et al. (2020). GEDI: High-resolution laser ranging of Earth's forests and topography. Environmental Research Letters."
"WDPA Protected Areas","Protected Planet / UNEP-WCMC","World Database on Protected Areas — boundaries used for conservation overlay","ODbL","—","2026-07-03","UNEP-WCMC and IUCN (2024). Protected Planet: WDPA. Cambridge UK."
"FAO GAUL Administrative Boundaries","FAO / Google Earth Engine","Level 0–2 admin boundaries for 54 African nations","CC-BY-NC-SA 3.0 IGO","—","2026-07-03","FAO (2015). Global Administrative Unit Layers (GAUL). Food and Agriculture Organisation of the UN."
"Tallo — Global Tree Allometry Database","Zenodo / Satellite Applications Catapult","Global database of 498,838 tree records: genus, species, DBH, height, wood density; primary training set for allometric estimation","CC-BY-4.0","10.5281/zenodo.6637599","2026-07-10","Jucker, T. et al. (2022). Tallo: A global tree allometry and crown architecture database. Global Change Biology."
"BAAD — Biomass And Allometry Database","GitHub / ESA Publications","Harmonised harvested biomass measurements across 259 studies; used as ground-truth for Chave 2014 validation","CC-0 (Public Domain)","10.6084/m9.figshare.3413462","2026-07-10","Falster, D.S. et al. (2015). BAAD: a Biomass And Allometry Database for woody plants. Ecology 96(5)."
"Global Wood Density Database","Dryad / CTFS","Species-level wood density (g/cm³) lookup used in Chave 2014 AGB equation","CC-BY-4.0","10.5061/dryad.234","2026-07-10","Chave, J. et al. (2009). Towards a worldwide wood economics spectrum. Ecology Letters 12(4)."
"Sentinel-2 True Colour Imagery","Copernicus / ESA","L2A surface reflectance RGB composites via public TMS tiles for study-area visualisation","Free & Open (Copernicus)","—","2026-07-10","ESA (2022). Sentinel-2 MSI Level-2A. Copernicus Open Access Hub."
"SRTM 30m DEM","NASA / USGS","Shuttle Radar Topography Mission digital elevation model — slope feasibility sub-score","Public Domain","—","2026-07-03","Farr, T.G. et al. (2007). The Shuttle Radar Topography Mission. Reviews of Geophysics 45."
"ESRI Living Atlas — Global AGB 2020","ESRI / Cargill","Global 2020 AGB product used as supplementary biomass layer","Esri Master Agreement","—","2026-07-03","ESRI (2023). Global Aboveground Biomass 2020. ArcGIS Living Atlas of the World."
"Rwanda REMA Field Inventory","Rwanda Environment Management Authority","National forest inventory plots used for sub-regional validation","National (Rwanda)","—","2026-07-03","REMA (2021). Rwanda National Forest Inventory Report. Kigali."
